Source,Target
Your_days_are_numbered if you keep doing that.,Bạn sẽ chết sớm nếu bạn tiếp tục làm vậy.
I've been feeling_on_top_of_the_world since i quit my job,Tôi đã cảm thấy rất khỏe kể từ khi nghỉ việc.
You can't judge_a_book_by_its_cover—it may be better than you think!,Đừng đánh giá nó qua vẻ bề ngoài—nó có thể tốt hơn bạn nghĩ đó!
The new Honda is expected to sell_like_hotcakes after it’s released.,Mẫu xe Honda mới dự kiến sẽ bán chạy như tôm tươi sau khi ra mắt.
He’s got_cold_feet about the wedding.,	Anh ấy cảm thấy lo lắng trước đám cưới.
He finally threw_in_the_towel after years of trying.,"Sau nhiều năm cố gắng, anh ấy cuối cùng cũng bỏ cuộc."
Keep_your_chin_up; things will get better.,Hãy giữ vững tinh thần; mọi chuyện sẽ khá hơn.
Who's the new_man_in_your_life?,Ai là người tình mới của bạn vậy?
I decided to bite_the_bullet and take the exam,	Tôi quyết định cắn răng chịu đựng và đi thi.
Stop beating_around_the_bush and answer my question.,"Đừng vòng vo nữa, hãy trả lời câu hỏi của tôi"
I'll eat dinner on_the_fly,Tôi sẽ ăn tối trên đường.
She spilled_the_beans about the wedding plans.,Cô ấy đã tiết lộ kế hoạch đám cưới.
Dad will hit_the_roof when he finds out I dented the car.,Bố sẽ nổi giận lắm khi phát hiện ra tôi làm móp xe.
break_a_leg,chúc may mắn
"When I found out he crashed my car, I hit_the_roof.","Sau khi tôi biết được anh ấy đã đâm xe tôi, tôi đã vô cùng tức giận"
The noise caused all the neighbors to go_nuts.,Cái tiếng ồn đó đã làm tất cả hàng xóm phát điên.
I have been looking here_and_there for the gift I boụght for my girlfriend,Tôi đã tìm khắp mọi nơi để mua món quà cho bạn gái tôi
Don’t cry_over_spilled_milk.,	Đừng khóc vì chuyện đã qua.
These kinds of mistakes are a_dime_a_dozen,Những lỗi như thế này rất phổ biến
We killed_two_birds_with_one_stone by shopping and picking up the kids in one trip.,"Chúng tôi một công đôi việc, vừa đi mua sắm vừa đón con."
"After struggling with my work, I finally threw_in_the_towel","Sau khi vật lộn với công việc, tôi cuối cùng cũng bỏ cuộc."
"Better leave her alone, don't_fuel_the_fire!","Để cô ấy yên, đừng có châm dầu vào lửa!"
As_pretty_as_paint.,Đẹp như tranh
We’re wasting our time on_small_potatoes!,Chúng ta đang lãng phí thời gian vỡi những công việc nhỏ vặt!
He didn't_bat_an_eye when he realised he failed the exam.,Anh ấy không bất ngờ khi anh ấy nhận ra anh đã trượt kì thi.
You're playing_with_fire if you keep driving with that speed!,Bạn đang chơi với lửa khi bạn còn lái xe với tốc độ đó!
His sickness was a_blessing_in_disguise,Căn bệnh của anh ta hóa ra là một phước lành.
He kicked_the_bucket last year.,Ông ấy đã qua đời năm ngoái
Let’s get_the_ball_rolling on this project.,	Hãy bắt đầu dự án này thôi.
She let_the_cat_out_of_the_box and fnally told her parents aboụt her plans of getting married.,Cô ấy đã để lộ bí mật và cuối cùng nói với bố mẹ về kế hoạch kết hôn của mình.
I've been feeling_on_top_of_the_world since i quit my job,Tôi đã cảm thấy rất khỏe kể từ khi nghỉ việc.
You're playing_with_fire if you keep driving with that speed!,Bạn đang chơi với lửa khi bạn còn lái xe với tốc độ đó!
It’ll be_a_cold_day_in_July when our team wins the championship.,Nhóm chúng tôi sẽ không bao giờ giành được chức vô địch.
We can get the documents you need_chop_chop.,Chúng tôi có thể lấy tài liệu của bạn một cách nhanh chóng
"Better leave her alone, don't_fuel_the_fire!","Để cô ấy yên, đừng có châm dầu vào lửa!"
Who's the new_man_in_your_life?,Ai là người tình mới của bạn vậy?
He kicked_the_bucket last year.,Ông ấy đã qua đời năm ngoái
He was at_death's_door after his heart attack.,Anh ấy đã cận kề cái chết sau cơn đau tim
" My experiment was a failụre, so I'm back to the drawing board","Thí nghiệm của tôi thất bại, nên tôi phải bắt đầu lại từ đầu."
Better_make_hay_while_sun_shines!,Việc hôm nay chớ để ngày mai!
Dad will hit_the_roof when he finds out I dented the car.,Bố sẽ nổi giận lắm khi phát hiện ra tôi làm móp xe.
She’s a_dead_ringer for her older sister.,Cô ấy nhìn rất giống chị của cô ta.
The drink is on the house tonight,Tối nay quán đãi đồ uống miễn phí.
I’m feeling_under_the_weather today.,	Hôm nay tôi thấy không khỏe.
He got_a_taste_of_his_own_medicine when others ignored him.,Anh ấy bị người khác phớt lờ như cách anh từng làm.
I just have_a_lot_on_my_plate right now.,Tôi đang có rất nhiều việc phải làm.
I will be_on_your_side through thick_and_thin.,Tôi sẽ luôn ở bên bạn dù nó có khó khăn đến đâu
We had to identify the_elephant_in_the_room before we made a decision.,Chúng ta phải xác định vấn đề quan trọng trước khi đưa ra quyết định.
"When I found out he crashed my car, I hit_the_roof.","Sau khi tôi biết được anh ấy đã đâm xe tôi, tôi đã vô cùng tức giận"
She's pulling_your_leg — there’s no test today!,Cô ấy chỉ đang đùa bạn thôi — hôm nay không có bài kiểm tra đâu!
"When Mina was in her teens she looked ordinary, but in her early 20s she turned_into_a_real_knockout! ","Khi Mina còn ở tuổi thiếu niên, cô ta nhìn rất bình thường nhưng ở độ tuổi 20 cô ấy biến thành một người phụ nữ rất xinh đẹp"
"Come_hell_or_high_water,we will be in New York.","Cho dù thứ gì sảy ra đi chăng nữa, chúng ta sẽ đến New York."
" My experiment was a failụre, so I'm back to the drawing board","Thí nghiệm của tôi thất bại, nên tôi phải bắt đầu lại từ đầu."
"Although he just came, he already knew which_way_the_wind_blows.","Mặc dù anh ta vừa tới, nhưng anh ta đã có thể biết rằng chuyện gì đang sảy ra."
The plan was home and dry.,Kế hoạch đã thành công.
He got_home_all_in_one_piece despite the storm,Anh ấy đã về nhà trọn vẹn mặc dù có cơn bão.
The whole evidance was sweep_under_the_rug,Tất cả bằng chừng đã được giấu 1 cách kỹ càng
He's really on_thin_ice.,Anh ấy đang trong một tình huống nguy hiềm.
Working from home gives me the_best_of_both_worlds.,Làm việc tại nhà mang lại cho tôi lợi ích từ cả hai phía.
Don’t get all_bent_out_of_shape out it.,Đừng có tức vì đièu đó.
She’s a_tough_cookie in negotiations.,Cô ấy rất cứng rắn khi đàm phán.
He was completely in_the_dark about what happened,Anh ấy không biết gì về chuyện vừa xảy ra.
I’ve locked the door. They’re as_safe_as_houses,Tôi đã khóa cửa rồi. Chúng sẽ rất an toàn.
The new Honda is expected to sell_like_hotcakes after it’s released.,Mẫu xe Honda mới dự kiến sẽ bán chạy như tôm tươi sau khi ra mắt.
My brother has a big exam next week so he is already burn_the_midnight_oil,Anh trai tôi có kỳ thi lớn vào tuần tới nên anh ấy đã thức khuya học bài rồi.
"If you think I'm going to eat it, you're_all_wet!","Nếu bạn nghĩ rằng tôi sẽ ăn nó, bạn sai rồi!"
I’ll be pushing_up_daisies before my daughter decides to get married.,Tôi sẽ chết trước khi con gái tôi quyết định kết hôn.
I drove_home_hell_for_leather,Tôi đã lái xe rất nhanh về nhà
Keep_your_chin_up; things will get better.,Hãy giữ vững tinh thần; mọi chuyện sẽ khá hơn.
At the end she won only_by_a_whisker,Cô ấy đã thắng với một khoảng cách rất ngắn.
I'll have the order done_quick_as_a_flash,Tôi sẽ hoàn thành đơn của bạn nhanh như tia chớp
One_drop_of_poison_infects_the_whole_of_wine.,Một con sâu làm rầu nồi canh.
Long_story_short: she sold it.,Nói tóm lại: cô ấy đã bán nó.
The plan is up_in_the_air right now.,Kế hoạch hiện vẫn chưa chắc chắn.
You've lost_touch with him.,Bạn đã mất liên lạc với anh ấy.
Don’t get all_bent_out_of_shape out it.,Đừng có tức vì đièu đó.
 I have to hit_the_books this weekend — I have two exams next week,"Tôi phải học cuối tuần này, tuần sau tôi có 2 bài kiểm tra."
He sensed that there were multiple_clouds_on_the_horizon.,Anh ấy cảm thấy rằng nó vẫn còn rất nhiều vấn đề.
"I’m really_in_a_pickle. I spent all the money I had saved, and I have no way to pay next semester’s tuition bill.",Tôi thực sự đang gặp rắc rối. Tôi đã tiêu hết tiền tiết kiệm của mình và tôi không có cách nào để trả tiền cho học kỳ tới.
Speak_of_the_devil—here he comes!,"Vừa nhắc đến anh ta—anh ta đến kìa!"""
He looked blue_in_the_face after the marathon.,Mặt anh ta trông tái mét sau cuộc chạy marathon.
You should judge him by his work.,Bạn nên đánh giá anh ấy qua công việc của anh ấy.
He was at_death's_door after his heart attack.,Anh ấy đã cận kề cái chết sau cơn đau tim
Like_father_ like_son,Cha nào con nấy
It’s nice to slow down at the week-end and take_it_+easy.,Thật tuyệt khi được thư giãn vào cuối tuần.
Buying that car cost_me_an_arm_and_a_leg.,Mua chiếc xe đó khiến tôi tốn cả gia tài.
"Inside, there is no room to swing_a_cat.",Bên trong rất nhỏ.
He told us to recount the story in_a_nutshell,Anh ấy bảo chúng tôi kể lại câu chuyện một cách ngắn gọn.
He finally threw_in_the_towel after years of trying.,"Sau nhiều năm cố gắng, anh ấy cuối cùng cũng bỏ cuộc."
We were ready to pack oụr bags and go on vacation at_the_drop_of_the_hat,Chúng tôi sẵn sàng thu xếp hành lý và đi nghỉ ngay lập tức.
"I’m really_in_a_pickle. I spent all the money I had saved, and I have no way to pay next semester’s tuition bill.",Tôi thực sự đang gặp rắc rối. Tôi đã tiêu hết tiền tiết kiệm của mình và tôi không có cách nào để trả tiền cho học kỳ tới.
As_pretty_as_paint.,Đẹp như tranh
Only the_top_banana can make a decision,Chỉ có người cầm quyền có thể đưa ra quyết định.
She let_the_cat_out_of_the_box and fnally told her parents aboụt her plans of getting married.,Cô ấy đã để lộ bí mật và cuối cùng nói với bố mẹ về kế hoạch kết hôn của mình.
We're like chalks_and_cheese,Chúng tôi khác biệt hoàn toàn
I drove_home_hell_for_leather,Tôi đã lái xe rất nhanh về nhà
Speak_of_the_devil—here he comes!,"Vừa nhắc đến anh ta—anh ta đến kìa!"""
My brother has a big exam next week so he is already burn_the_midnight_oil,Anh trai tôi có kỳ thi lớn vào tuần tới nên anh ấy đã thức khuya học bài rồi.
There is no smoke without fire.,Không có lửa sao có khói.
He always gives_me_a_hand with repairing broken things,Anh ấy luôn giúp đỡ tôi sửa chữa đồ bị hỏng.
I've been feeling_on_top_of_the_world since i quit my job,Tôi đã cảm thấy rất khỏe kể từ khi nghỉ việc.
They cut_corners to finish the project on time.,Họ làm qua loa để hoàn thành dự án đúng hạn
I’m all_ears — tell me what happened!,Tôi đang chăm chú nghe đây — kể tôi nghe đi!
He bent_over_backwards to help her.,	Anh ấy đã cố gắng hết sức để giúp cô ấy.
When are you and Jenny going to tie_the_knot?,Lúc nào bạn và Jenny sẽ cưới nhau?
You should judge him by his work.,Bạn nên đánh giá anh ấy qua công việc của anh ấy.
"After struggling with my work, I finally threw_in_the_towel","Sau khi vật lộn với công việc, tôi cuối cùng cũng bỏ cuộc."
Like_father_ like_son,Cha nào con nấy
If i come to the party I'll just_be_a_fifth_wheel.,Nêú tôi đến buổi tiệc của bạn tôi sẽ trông rất thừa thãi
"Losing the job was tough, but every cloud has a_silver_lining.","Mất việc thật khó khăn, nhưng trong cái rủi có cái may."
I’ll be pushing_up_daisies before my daughter decides to get married.,Tôi sẽ chết trước khi con gái tôi quyết định kết hôn.
He got_home_all_in_one_piece despite the storm,Anh ấy đã về nhà trọn vẹn mặc dù có cơn bão.
Pull_yourself_together and face the challenge.,Hãy bình tĩnh và đối mặt với thử thách.
"After struggling with my work, I finally threw_in_the_towel","Sau khi vật lộn với công việc, tôi cuối cùng cũng bỏ cuộc."
We're going to be late. Put_the_pedal_to_the_metal!,Chúng ta sẽ muộn mất. Hãy lái nhanh nhất có thể!
He's in_hot_water for missing the deadline.,Anh ấy gặp rắc rối vì trễ hạn
I'm exhausted; I'm going to hit_the_sack.,Tôi mệt quá; tôi đi ngủ đây.
You've lost_touch with him.,Bạn đã mất liên lạc với anh ấy.
"Hold on, let me put_my_face_on.","Đợi chút, để tôi trang điểm cái đã."
The whole evidance was sweep_under_the_rug,Tất cả bằng chừng đã được giấu 1 cách kỹ càng
My younger brother is the_apple_of_my_eye.,Em trai tôi chính là con ngươi trong mắt tôi.
The plan is up_in_the_air right now.,Kế hoạch hiện vẫn chưa chắc chắn.
The painting is not as_black_as_it_is_painted.,Cái bức tranh nó không tệ như mọi người nghĩ.
I think we have solved this problem once_and_for_all.,Tôi nghĩ chúng ta đã giải quyết được vấn đề này một lần và mãi mãi.
His drawing is truly one_of_a_kind,Bức vẽ của anh ấy thực sự là độc nhất vô nhị.
"You have to work hard—no pain, no gain",Bạn phải làm việc chăm chỉ—không đau thì không thành công.
"I’m really_in_a_pickle. I spent all the money I had saved, and I have no way to pay next semester’s tuition bill.",Tôi thực sự đang gặp rắc rối. Tôi đã tiêu hết tiền tiết kiệm của mình và tôi không có cách nào để trả tiền cho học kỳ tới.
He’s the black_sheep of the family.,	Anh ấy là kẻ lạc loài trong gia đình.
He didn't_bat_an_eye when he realised he failed the exam.,Anh ấy không bất ngờ khi anh ấy nhận ra anh đã trượt kì thi.
I meet him once_in_a_blue_moon,Tôi rất hiềm khi gặp anh ấy.
Better_make_hay_while_sun_shines!,Việc hôm nay chớ để ngày mai!
I always have so much fun when Katie’s around—she’s a_barrel_of_laughs!,Tôi luôn cảm thấy rất vui khi có Katie ở bên—cô ta luôn mang lại tiếng cười!
I just have_a_lot_on_my_plate right now.,Tôi đang có rất nhiều việc phải làm.
My mother is back_on_her_feet after being sick for a week.,Mẹ tôi đã hồi phục trọn vẹn sau khi bị ốm trong một tuần.
You're playing_with_fire if you keep driving with that speed!,Bạn đang chơi với lửa khi bạn còn lái xe với tốc độ đó!
Let’s come back soon before_the_heavens_open!,Hãy quay trở lại trước khi trời mưa!
I’m feeling_under_the_weather today.,	Hôm nay tôi thấy không khỏe.
I think he's off_his_trolley.,Tôi nghĩ anh ta bị điên rồi.
Keep_your_chin_up; things will get better.,Hãy giữ vững tinh thần; mọi chuyện sẽ khá hơn.
Let’s come back soon before_the_heavens_open!,Hãy quay trở lại trước khi trời mưa!
He kicked_the_bucket last night.,Ông ấy đã qua đời tối qua.
He was at_death's_door after his heart attack.,Anh ấy đã cận kề cái chết sau cơn đau tim
I suddenly lose touch with Mina,Tôi đột nhiên mất liên lạc với Mina.
"Losing the job was tough, but every cloud has a_silver_lining.","Mất việc thật khó khăn, nhưng trong cái rủi có cái may."
We had a_whale_of_a_time on holiday.,Chúng tôi đã có một kỳ nghỉ tuyệt vời
My younger brother is the_apple_of_my_eye.,Em trai tôi chính là con ngươi trong mắt tôi.
it's a_piece_of_cake,Nó dễ như ăn bánh
"When I found out he crashed my car, I hit_the_roof.","Sau khi tôi biết được anh ấy đã đâm xe tôi, tôi đã vô cùng tức giận"
They finally saw_eye_to_eye on the issue.,Họ cuối cùng cũng đồng thuận về vấn đề đó.
Hit_the_nail_in_the_head,Nói đúng trọng tâm.
Keep_your_chin_up; things will get better.,Hãy giữ vững tinh thần; mọi chuyện sẽ khá hơn.
Don’t cry_over_spilled_milk.,	Đừng khóc vì chuyện đã qua.
It’ll be_a_cold_day_in_July when our team wins the championship.,Nhóm chúng tôi sẽ không bao giờ giành được chức vô địch.
If i come to the party I'll just_be_a_fifth_wheel.,Nêú tôi đến buổi tiệc của bạn tôi sẽ trông rất thừa thãi
 He had not expected a_hot_potato,Anh ấy đã không ngờ phải đối mặt với một vấn đề nhạy cảm.
You really hit_the_nail_on_the_head with that comment.,Cái bình luận của bạn thực sự thật chính xác và sâu sắc
My mother is back_on_her_feet after being sick for a week.,Mẹ tôi đã hồi phục trọn vẹn sau khi bị ốm trong một tuần.
"Although he just came, he already knew which_way_the_wind_blows.","Mặc dù anh ta vừa tới, nhưng anh ta đã có thể biết rằng chuyện gì đang sảy ra."
As_pretty_as_paint.,Đẹp như tranh
"Take_your_time, be slow_but_sure.","Hãy dành thời gian của bạn, chậm nhưng chắc."
The cave we'll pass by is as_black_as_coal.,Cái hang động mà ta sắp đi qua nó đen như mực.
"""It's raining_cats_and_dogs outside.",Trời đang mưa như trút nước.
Speak_of_the_devil—here he comes!,"Vừa nhắc đến anh ta—anh ta đến kìa!"""
We can get the documents you need_chop_chop.,Chúng tôi có thể lấy tài liệu của bạn một cách nhanh chóng
It's been_a_month_of_Sundays since I saw you last!,Đã lâu rồi tôi không gặp bạn.
The new law opened_a_can_of_worms.,Luật mới đã gây ra hàng loạt rắc rối.
Her doctor said she was fit_as_a_fiddle.,Bác sĩ của cô ta nói cô ấy rất khỏe mạnh
His sickness was a_blessing_in_disguise,Căn bệnh của anh ta hóa ra là một phước lành.
I meet him once_in_a_blue_moon,Tôi rất hiềm khi gặp anh ấy.
He’s the_big_fish in the company. ,Anh ta là một người quan trọng trong công ty.
We’re wasting our time on_small_potatoes!,Chúng ta đang lãng phí thời gian vỡi những công việc nhỏ vặt!
It's time to break_the_ice and introduce yourself.,Đã đến lúc phá vỡ khoảng cách và giới thiệu bản thân.
"If you wait for him to finish his part of the project, you’ll be waiting_till_the_cows come home ","Nếu bạn đợi anh ấy hoàn thành công việc của anh ấy trong dự ăn, bạn sẽ phải đợi anh ấy rất lâu đó."
You really hit_the_nail_on_the_head with that comment.,Cái bình luận của bạn thực sự thật chính xác và sâu sắc
Let's call_it_a_day.,Hãy dừng lại và nghỉ đi.
He always gives_me_a_hand with repairing broken things,Anh ấy luôn giúp đỡ tôi sửa chữa đồ bị hỏng.
She spilled_the_beans about the wedding plans.,Cô ấy đã tiết lộ kế hoạch đám cưới.
There is no smoke without fire.,Không có lửa sao có khói.
His drawing is truly one_of_a_kind,Bức vẽ của anh ấy thực sự là độc nhất vô nhị.
You should judge him by his work.,Bạn nên đánh giá anh ấy qua công việc của anh ấy.
Ten_to_one I'm going to win.,Tôi rất có thể sẽ thắng.
Don’t get all_bent_out_of_shape out it.,Đừng có tức vì đièu đó.
We killed_two_birds_with_one_stone by shopping and picking up the kids in one trip.,"Chúng tôi một công đôi việc, vừa đi mua sắm vừa đón con."
The market is open_around_the_clock.,Cửa hàng luôn mở cửa cả ngày.
The plan is up_in_the_air right now.,Kế hoạch hiện vẫn chưa chắc chắn.
It was the_last_straw that made her quit.,Đó là giọt nước tràn ly khiến cô ấy bỏ việc.
"""It's raining_cats_and_dogs outside.",Trời đang mưa như trút nước.
Stop beating_around_the_bush and answer my question.,"Đừng vòng vo nữa, hãy trả lời câu hỏi của tôi"
Passing this test will be like shooting_fish_in_a_barrel,Vược qua bài kiểm tra này sẽ rất dễ dàng.
He got_a_taste_of_his_own_medicine when others ignored him.,Anh ấy bị người khác phớt lờ như cách anh từng làm.
Sophia made me trusted her. But then she stabbed_me_in_the_back ,Sophia đã làm tôi tin tưởng cô ấy. Rồi cô ta phản bội tôi.
One_drop_of_poison_infects_the_whole_of_wine.,Một con sâu làm rầu nồi canh.
"If you wait for him to finish his part of the project, you’ll be waiting_till_the_cows come home ","Nếu bạn đợi anh ấy hoàn thành công việc của anh ấy trong dự ăn, bạn sẽ phải đợi anh ấy rất lâu đó."
Pull_yourself_together and face the challenge.,Hãy bình tĩnh và đối mặt với thử thách.
He is really a_bad_apple.,Anh ta thực sự là một người tồi.
She spilled_the_beans about her secret to her mom.,Cô ấy đã tiết lộ bí mật của mình cho mẹ cô.
You should judge him by his work.,Bạn nên đánh giá anh ấy qua công việc của anh ấy.
I think we have solved this problem once_and_for_all.,Tôi nghĩ chúng ta đã giải quyết được vấn đề này một lần và mãi mãi.
Break_a_leg in your performance!,Chúc may mắn trong buổi diễn nhé!
I wouldn't want a nine-to-five job.,Tôi không muốn một công việc thường ngày.
Let's call_it_a_day.,Hãy dừng lại và nghỉ đi.
He's in_hot_water for missing the deadline.,Anh ấy gặp rắc rối vì trễ hạn
He was over_the_moon with his exam score.,Anh ấy đã rất vui mừng với điểm thi của anh ấy. 
He's going_around_the_bend.,Anh ấy đang mất trí.
The market is open_around_the_clock.,Cửa hàng luôn mở cửa cả ngày.
The dress she wants for her birthday will cost_a_pretty_penny.,Chiếc váy mà cô ấy muốn mua cho ngày sinh nhật sẽ tốn một khoản tiền kha khá.
Dad will hit_the_roof when he finds out I dented the car.,Bố sẽ nổi giận lắm khi phát hiện ra tôi làm móp xe.
The plan went_down_in_flames.,Kế hoạch thành ra thảm bại.
We can get the documents you need_chop_chop.,Chúng tôi có thể lấy tài liệu của bạn một cách nhanh chóng
She was like a_cat_on_hot_bricks before her big exam.,Cô ấy đã rất lo lắng trước kỳ thi.
We’re wasting our time on_small_potatoes!,Chúng ta đang lãng phí thời gian vỡi những công việc nhỏ vặt!
The_ball_is_in_your_court_now.,	Quyết định giờ là ở bạn.
The cave we'll pass by is as_black_as_coal.,Cái hang động mà ta sắp đi qua nó đen như mực.
We were ready to pack oụr bags and go on vacation at_the_drop_of_the_hat,Chúng tôi sẵn sàng thu xếp hành lý và đi nghỉ ngay lập tức.
" My experiment was a failụre, so I'm back to the drawing board","Thí nghiệm của tôi thất bại, nên tôi phải bắt đầu lại từ đầu."
I have a_million_and_one ideas.,Tôi có rất nhiều ý tưởng.
Passing this test will be like shooting_fish_in_a_barrel,Vược qua bài kiểm tra này sẽ rất dễ dàng.
He’s the black_sheep of the family.,	Anh ấy là kẻ lạc loài trong gia đình.
I wouldn't want a nine-to-five job.,Tôi không muốn một công việc thường ngày.
He smokes_like_a_chimney.,Anh ấy hút thuốc rất nhiều.
I think I bit_off_more_than_I_could_chew with this project.,Tôi nghĩ mình đã ôm đồm quá nhiều với dự án này.
He got_home_all_in_one_piece despite the storm,Anh ấy đã về nhà trọn vẹn mặc dù có cơn bão.
"When Mina was in her teens she looked ordinary, but in her early 20s she turned_into_a_real_knockout! ","Khi Mina còn ở tuổi thiếu niên, cô ta nhìn rất bình thường nhưng ở độ tuổi 20 cô ấy biến thành một người phụ nữ rất xinh đẹp"
"He never lies, to the_best_of_my_knowledge .","Anh ấy không bao giờ nói dỗi, ít nhất là những gì tôi biết."
Her doctor said she was fit_as_a_fiddle.,Bác sĩ của cô ta nói cô ấy rất khỏe mạnh
it's a_piece_of_cake,Nó dễ như ăn bánh
I’m all_ears — tell me what happened!,Tôi đang chăm chú nghe đây — kể tôi nghe đi!
The new Honda is expected to sell_like_hotcakes after it’s released.,Mẫu xe Honda mới dự kiến sẽ bán chạy như tôm tươi sau khi ra mắt.
I’ll be pushing_up_daisies before my daughter decides to get married.,Tôi sẽ chết trước khi con gái tôi quyết định kết hôn.
We killed_two_birds_with_one_stone by shopping and picking up the kids in one trip.,"Chúng tôi một công đôi việc, vừa đi mua sắm vừa đón con."
We were in_the_same_boat during the crisis.,Chúng tôi cùng cảnh ngộ trong thời kỳ khủng hoảng.
He had_egg_on_his_face after claiming he could climb the tree but then having to give up.,Anh ấy đã rất xấu hổ sau khi tuyên bố mình có thể trèo cây nhưng sau đó lại phải bỏ cuộc.
"Sure, I’ll go out with Cynthia again. When_pigs_fly ",Tôi sẽ đi chơi với Cynthia khi nào lợn mọc cánh mà bay.
"She is a small lady,but she is one tough cookie.",Cô ấy dù nhỏ nhưng rất kiên cường.
It's been_a_month_of_Sundays since I saw you last!,Đã lâu rồi tôi không gặp bạn.
She's really on_the_ball with her new project.,Cô ấy rất nhanh nhạy với dự án mới.
"If you think I'm going to eat it, you're_all_wet!","Nếu bạn nghĩ rằng tôi sẽ ăn nó, bạn sai rồi!"
Many companies are jumping on_the_bandwagon.,Nhiều công ty đang chạy theo xu hướng.
He sensed that there were multiple_clouds_on_the_horizon.,Anh ấy cảm thấy rằng nó vẫn còn rất nhiều vấn đề.
Stop beating_around_the_bush and answer my question.,"Đừng vòng vo nữa, hãy trả lời câu hỏi của tôi"
Please come in and make_yourself_at_home.,Hãy vào và tự nhiên như ở nhà.
I will call him when_hell_freezes_over.,Tôi sẽ không bao giờ gọi anh ấy
Many companies are jumping on_the_bandwagon.,Nhiều công ty đang chạy theo xu hướng.
The plan is up_in_the_air right now.,Kế hoạch hiện vẫn chưa chắc chắn.
That’s just a_fish_story. Don't try to fool me.,Đó chỉ là một câu chuyện bịa đặt. Đừng có cố mà lừa tôi.
Don't bring up old arguments; let_sleeping_dogs_lie.,Đừng khơi lại chuyện cũ; hãy để quá khứ yên.
break_a_leg,chúc may mắn
I'm exhausted; I'm going to hit_the_sack.,Tôi mệt quá; tôi đi ngủ đây.
Don’t get all_bent_out_of_shape out it.,Đừng có tức vì đièu đó.
"When I found out he crashed my car, I hit_the_roof.","Sau khi tôi biết được anh ấy đã đâm xe tôi, tôi đã vô cùng tức giận"
He’s the black_sheep of the family.,	Anh ấy là kẻ lạc loài trong gia đình.
Nine times out of ten your first choice turns out to be the right one.,Chín trên mười lần lựa chọn đầu tiên của bạn sẽ là lựa chọn đúng.
The new Honda is expected to sell_like_hotcakes after it’s released.,Mẫu xe Honda mới dự kiến sẽ bán chạy như tôm tươi sau khi ra mắt.
I think he's off_his_trolley.,Tôi nghĩ anh ta bị điên rồi.
They cut_corners to finish the project on time.,Họ làm qua loa để hoàn thành dự án đúng hạn
I have been looking here_and_there for the gift I boụght for my girlfriend,Tôi đã tìm khắp mọi nơi để mua món quà cho bạn gái tôi
You should both see_eye_to_eye if you want this resolved.,Hai bạn nên có cùng một quan điểm riêng nếu bạn muốn giải quyết vấn đề này.
You're playing_with_fire if you keep driving with that speed!,Bạn đang chơi với lửa khi bạn còn lái xe với tốc độ đó!
I'd buy that car in a_hot_minute if i had the money.,Tôi sẽ mua cái xe đó ngay bây giờ nếu tôi có đủ tiền.
She was like a_cat_on_hot_bricks before her big exam.,Cô ấy đã rất lo lắng trước kỳ thi.
That’s just a_fish_story. Don't try to fool me.,Đó chỉ là một câu chuyện bịa đặt. Đừng có cố mà lừa tôi.
I'll play_devil's_advocate to challenge your ideas.,Tôi sẽ đóng vai phản biện để thử thách ý tưởng của bạn.
The noise caused all the neighbors to go_nuts.,Cái tiếng ồn đó đã làm tất cả hàng xóm phát điên.
We're like chalks_and_cheese,Chúng tôi khác biệt hoàn toàn
Hit_the_nail_in_the_head,Nói đúng trọng tâm.
"It is to late for you to do that, the_ship_has_sailed","Đã quá muộn để bạn làm điều đó rồi, bạn đã mất cơ hội đó."
Buying that car cost_me_an_arm_and_a_leg.,Mua chiếc xe đó khiến tôi tốn cả gia tài.
Let the_cat_out_of_the_bag.,Tiết lộ bí mật.
"Do whatever you want, I do not give_a_fug.","Bạn làm gì cũng được, tôi không quan tâm."
She hit_the_nail_on_the_head with her comment.,Cô ấy đã nói trúng phóc với lời nhận xét của mình.
We were ready to pack oụr bags and go on vacation at_the_drop_of_the_hat,Chúng tôi sẵn sàng thu xếp hành lý và đi nghỉ ngay lập tức.
"Come_hell_or_high_water,we will be in New York.","Cho dù thứ gì sảy ra đi chăng nữa, chúng ta sẽ đến New York."
She was like a_cat_on_hot_bricks before her big exam.,Cô ấy đã rất lo lắng trước kỳ thi.
He disappeared in_a_blink_of_an_eye!,Anh ấy biến mất trong chớp mắt!
We’re wasting our time on_small_potatoes!,Chúng ta đang lãng phí thời gian vỡi những công việc nhỏ vặt!
Are you pulling_my_leg?,Bạn đang đùa tôi đấy à?
 He had not expected a_hot_potato,Anh ấy đã không ngờ phải đối mặt với một vấn đề nhạy cảm.
Let's call_it_a_day.,Hãy dừng lại và nghỉ đi.
My brother has a big exam next week so he is already burn_the_midnight_oil,Anh trai tôi có kỳ thi lớn vào tuần tới nên anh ấy đã thức khuya học bài rồi.
" My experiment was a failụre, so I'm back to the drawing board","Thí nghiệm của tôi thất bại, nên tôi phải bắt đầu lại từ đầu."
Ten_to_one I'm going to win.,Tôi rất có thể sẽ thắng.
Be careful not to bite_off_more_you_can_chew.,Hãy cẩn thận đừng cố quá.
She spilled_the_beans about her secret to her mom.,Cô ấy đã tiết lộ bí mật của mình cho mẹ cô.
She stole_my_thunder by announcing the news first,Cô ấy cướp mất sự chú ý của tôi bằng cách thông báo tin trước.
